# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 5
# LOX T vs time, T_LOX,i=91 K, T_He=288 K.
# P=1 bar measured/calculated (V_He/V_LOX=1.39 min^-1, 100 L/min);
# P=3 bar measured/calculated (V_He/V_LOX=1.21 min^-1, 87 L/min).
# Digitized from vector markers (measured) and polylines (calculated); legend frame excluded.
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,P1bar_measured,P3bar_measured,P1bar_calculated,P3bar_calculated
459,87.8933,92.1532,88.5623,92.0950
460,87.8899,92.1542,88.5596,92.0966
461,87.8864,92.1553,88.5565,92.0981
462,87.8829,92.1563,88.5520,92.0996
463,87.8795,92.1573,88.5476,92.1011
464,87.8760,92.1584,88.5431,92.1025
465,87.8725,92.1594,88.5387,92.1040
466,87.8691,92.1604,88.5342,92.1055
467,87.8656,92.1614,88.5298,92.1070
468,87.8622,92.1625,88.5253,92.1085
469,87.8587,92.1635,88.5209,92.1100
470,87.8552,92.1645,88.5164,92.1114
471,87.8518,92.1656,88.5120,92.1129
472,87.8483,92.1666,88.5076,92.1144
473,87.8448,92.1676,88.5031,92.1159
474,87.8414,92.1687,88.4987,92.1174
475,87.8379,92.1697,88.4942,92.1189
476,87.8345,92.1708,88.4899,92.1203
477,87.8312,92.1728,88.4866,92.1214
478,87.8279,92.1747,88.4832,92.1225
479,87.8246,92.1767,88.4799,92.1236
480,87.8214,92.1787,88.4765,92.1248
481,87.8181,92.1806,88.4732,92.1259
482,87.8148,92.1826,88.4699,92.1270
483,87.8115,92.1846,88.4665,92.1281
484,87.8083,92.1865,88.4632,92.1292
485,87.8050,92.1885,88.4599,92.1303
486,87.8017,92.1905,88.4565,92.1314
487,87.7984,92.1924,88.4532,92.1325
488,87.7952,92.1944,88.4498,92.1337
489,87.7919,92.1964,88.4465,92.1348
490,87.7886,92.1983,88.4432,92.1359
491,87.7853,92.2003,88.4398,92.1370
492,87.7820,92.2023,88.4365,92.1385
493,87.7788,92.2042,88.4332,92.1400
494,87.7755,92.2062,88.4298,92.1414
495,87.7722,92.2082,88.4265,92.1429
496,87.7689,92.2101,88.4232,92.1444
497,87.7657,92.2121,88.4198,92.1459
498,87.7624,92.2141,88.4165,92.1474
499,87.7591,92.2160,88.4132,92.1489
500,87.7558,92.2180,88.4098,92.1503
501,87.7526,92.2200,88.4065,92.1518
502,87.7493,92.2219,88.4032,92.1533
503,87.7460,92.2239,88.3998,92.1548
504,87.7427,92.2259,88.3965,92.1563
505,87.7395,92.2278,88.3932,92.1578
506,87.7362,92.2298,88.3898,92.1592
507,87.7329,92.2318,88.3870,92.1604
508,87.7296,92.2337,88.3843,92.1616
509,87.7264,92.2357,88.3816,92.1628
510,87.7231,92.2377,88.3789,92.1639
511,87.7198,92.2396,88.3762,92.1651
512,87.7165,92.2416,88.3735,92.1662
513,87.7133,92.2436,88.3708,92.1674
514,87.7100,92.2455,88.3681,92.1686
515,87.7067,92.2475,88.3654,92.1697
516,87.7034,92.2495,88.3627,92.1709
517,87.7002,92.2514,88.3600,92.1720
518,87.6969,92.2534,88.3572,92.1732
519,87.6936,92.2554,88.3545,92.1744
520,87.6903,92.2573,88.3518,92.1755
521,87.6870,92.2593,88.3486,92.1768
522,87.6838,92.2613,88.3445,92.1783
523,87.6805,92.2632,88.3405,92.1797
524,87.6772,92.2652,88.3364,92.1812
525,87.6739,92.2672,88.3323,92.1827
526,87.6707,92.2691,88.3282,92.1842
527,87.6674,92.2711,88.3242,92.1857
528,87.6641,92.2731,88.3201,92.1871
529,87.6608,92.2750,88.3160,92.1886
530,87.6576,92.2770,88.3119,92.1901
531,87.6543,92.2790,88.3079,92.1916
532,87.6510,92.2809,88.3038,92.1931
533,87.6477,92.2829,88.2997,92.1945
534,87.6445,92.2848,88.2956,92.1960
535,87.6412,92.2868,88.2916,92.1975
536,87.6381,92.2885,88.2875,92.1989
537,87.6353,92.2892,88.2834,92.2000
538,87.6326,92.2900,88.2793,92.2011
539,87.6299,92.2907,88.2753,92.2022
540,87.6272,92.2915,88.2712,92.2033
541,87.6245,92.2922,88.2671,92.2044
542,87.6218,92.2930,88.2631,92.2056
543,87.6191,92.2937,88.2590,92.2067
544,87.6163,92.2945,88.2549,92.2078
545,87.6136,92.2952,88.2508,92.2089
546,87.6109,92.2959,88.2468,92.2100
547,87.6082,92.2967,88.2427,92.2111
548,87.6055,92.2974,88.2386,92.2122
549,87.6028,92.2982,88.2346,92.2133
550,87.6000,92.2989,88.2305,92.2145
551,87.5973,92.2997,88.2266,92.2156
552,87.5946,92.3004,88.2240,92.2171
553,87.5919,92.3012,88.2214,92.2186
554,87.5892,92.3019,88.2188,92.2201
555,87.5865,92.3027,88.2162,92.2216
556,87.5838,92.3034,88.2136,92.2230
557,87.5810,92.3042,88.2110,92.2245
558,87.5783,92.3049,88.2084,92.2260
559,87.5756,92.3057,88.2058,92.2275
560,87.5729,92.3064,88.2032,92.2290
561,87.5702,92.3072,88.2006,92.2305
562,87.5675,92.3079,88.1980,92.2319
563,87.5647,92.3087,88.1954,92.2334
