# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 8
# LOX T vs time, P=3 bar, T_He=288 K.
# r=0.81 and 1.21 min^-1 at T0=91 K (subcooled, warming);
# r=1.34 min^-1 at T0=102 K (saturated, cooling).
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,r0.81_measured,r1.21_measured,r1.34_measured,r0.81_calculated,r1.21_calculated,r1.34_calculated
270,91.8312,91.3046,97.0334,92.0070,91.8592,97.9403
271,91.8345,91.3045,97.0249,92.0087,91.8607,97.9305
272,91.8377,91.3044,97.0164,92.0104,91.8623,97.9208
273,91.8410,91.3043,97.0079,92.0121,91.8638,97.9111
274,91.8443,91.3042,96.9994,92.0138,91.8654,97.9013
275,91.8476,91.3041,96.9909,92.0155,91.8670,97.8916
276,91.8509,91.3039,96.9824,92.0172,91.8685,97.8818
277,91.8542,91.3038,96.9739,92.0189,91.8701,97.8721
278,91.8575,91.3037,96.9655,92.0206,91.8716,97.8624
279,91.8608,91.3036,96.9570,92.0223,91.8732,97.8526
280,91.8640,91.3035,96.9485,92.0240,91.8747,97.8429
281,91.8673,91.3033,96.9400,92.0256,91.8758,97.8330
282,91.8706,91.3032,96.9315,92.0271,91.8769,97.8231
283,91.8739,91.3031,96.9230,92.0287,91.8780,97.8132
284,91.8772,91.3030,96.9145,92.0302,91.8791,97.8033
285,91.8805,91.3029,96.9060,92.0318,91.8801,97.7934
286,91.8838,91.3028,96.8975,92.0333,91.8812,97.7835
287,91.8871,91.3026,96.8890,92.0349,91.8823,97.7736
288,91.8903,91.3025,96.8805,92.0364,91.8834,97.7637
289,91.8936,91.3024,96.8720,92.0380,91.8845,97.7538
290,91.8969,91.3023,96.8635,92.0395,91.8856,97.7439
291,91.9002,91.3022,96.8550,92.0411,91.8866,97.7340
292,91.9035,91.3021,96.8465,92.0426,91.8877,97.7241
293,91.9068,91.3019,96.8380,92.0442,91.8888,97.7142
294,91.9101,91.3018,96.8295,92.0457,91.8899,97.7044
295,91.9133,91.3017,96.8210,92.0473,91.8910,97.6945
296,91.9166,91.3016,96.8126,92.0498,91.8920,97.6851
297,91.9199,91.3015,96.8041,92.0526,91.8931,97.6758
298,91.9232,91.3014,96.7956,92.0554,91.8942,97.6665
299,91.9265,91.3012,96.7871,92.0582,91.8953,97.6572
300,91.9298,91.3011,96.7786,92.0610,91.8964,97.6479
301,91.9331,91.3010,96.7701,92.0638,91.8975,97.6386
302,91.9364,91.3009,96.7616,92.0666,91.8986,97.6293
303,91.9396,91.3008,96.7531,92.0693,91.8996,97.6200
304,91.9425,91.3011,96.7455,92.0721,91.9007,97.6107
305,91.9425,91.3041,96.7388,92.0749,91.9018,97.6014
306,91.9425,91.3071,96.7321,92.0777,91.9029,97.5921
307,91.9425,91.3100,96.7254,92.0805,91.9040,97.5828
